date,BYR,USD,EUR,KZT,UAH
01-2003,0.0164462,31.835,33.6146,0.20451899999999998,5.95403
02-2003,0.0161415,31.6406,34.2984,0.205918,5.901339999999999
03-2003,0.0157929,31.382,33.9239,0.207846,5.861079999999999
04-2003,0.0155368,31.2345,33.6083,0.205628,5.8219
05-2003,0.015236900000000001,30.9811,35.588,0.205441,5.71596
06-2003,0.0148377,30.5123,35.7726,0.204635,5.60682
07-2003,0.0147101,30.4955,34.3715,0.20791199999999999,5.69041
08-2003,0.0145001,30.3287,34.3321,0.20752099999999998,5.62664
09-2003,0.014583,30.659,34.2921,0.207729,5.69859
10-2003,0.0141961,30.2348,35.0754,0.205169,5.60662
11-2003,0.0139391,29.8186,35.1203,0.20270700000000003,5.532719999999999
12-2003,0.0136648,29.4394,35.866,0.20275300000000002,5.46845
01-2004,0.0133301,28.8691,36.7648,0.20393999999999998,5.355449999999999
02-2004,0.013219900000000001,28.518,36.5601,0.205112,5.281499999999999
03-2004,0.013230800000000001,28.5083,35.0053,0.205249,5.2893099999999995
04-2004,0.0132712,28.6221,34.1175,0.207288,5.32901
05-2004,0.0134632,29.0684,34.385,0.212336,5.4250300000000005
06-2004,0.0134517,29.0287,34.8954,0.213263,5.4330300000000005
07-2004,0.0134521,29.1037,35.8878,0.214878,5.45238
08-2004,0.0135179,29.2579,35.721,0.216153,5.48024
09-2004,0.013464499999999999,29.2162,35.8775,0.215777,5.4450899999999995
10-2004,0.013385600000000001,29.1154,35.975,0.21895399999999998,5.411379999999999
11-2004,0.013144600000000001,28.6651,37.0353,0.218943,5.33294
12-2004,0.0128464,27.9955,37.2424,0.215168,5.1635100000000005
01-2005,0.0128499,27.9469,36.6971,0.21504,5.217090000000001
02-2005,0.012914400000000001,28.0306,36.2856,0.214983,5.27913
03-2005,0.0127437,27.477,36.8769,0.211557,5.21395
04-2005,0.0129048,27.8291,35.8216,0.213351,5.30422
05-2005,0.0129812,27.9237,35.4045,0.212178,5.50307
06-2005,0.013268700000000001,28.5658,34.6503,0.213247,5.62795
07-2005,0.0133192,28.6679,34.6165,0.211735,5.69011
08-2005,0.013157,28.3122,35.3081,0.209467,5.6160499999999995
09-2005,0.0131458,28.316,34.7805,0.211174,5.57599
10-2005,0.0132816,28.5861,34.3576,0.213504,5.58934
11-2005,0.013391400000000001,28.825,33.8636,0.214879,5.60253
12-2005,0.0133156,28.661,34.4276,0.214221,5.6315100000000005
01-2006,0.0132214,28.474,34.3539,0.213246,5.57221
02-2006,0.0130999,28.1844,33.5733,0.21468900000000002,5.514139999999999
03-2006,0.0130116,27.9929,33.5215,0.217497,5.4700299999999995
04-2006,0.0128816,27.7002,33.5449,0.21641300000000002,5.43802
05-2006,0.0125419,26.9431,34.6892,0.22166,5.34585
06-2006,0.0126321,27.0895,34.0705,0.226918,5.38891
07-2006,0.0125775,26.9631,34.1488,0.227723,5.35375
08-2006,0.0125161,26.8189,34.1887,0.21881699999999998,5.3172
09-2006,0.012510199999999999,26.8015,33.9977,0.212449,5.3019799999999995
10-2006,0.0125734,26.9314,33.8393,0.210855,5.3193600000000005
